Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SDSK;Fazenda Dona Rosa S. Rezek;JATEÍ;MS;"054°02'41""W";"22°42'53""S";378;VFR;800;30
SNRK;Fazenda Soledade;IPAMERI;GO;"047°32'10,6""W";"17°22'59,8""S";801;VFR;800;18
SSAT;Vazante;VAZANTE;MG;"046°51'40""W";"17°57'17""S";748;VFR;1500;22
SINT;Fazenda Santa Adélia;SANTA ISABEL;GO;"049°22'46""W";"15°11'41""S";686;VFR;850;30
SSFZ;Fazenda Carolina;BURITIS;MG;"046°36'12""W";"15°35'41""S";570;;900;30
SISX;Santa Terezinha;AQUIDAUANA;MS;"056°03'22""W";"19°22'38""S";110;VFR;400;20
SJJO;João de Oliveira Bueno;MONTE ALEGRE DE GOIÁS;GO;"047°06'56""W";"13°11'33""S";436;VFR;700;23
SIZS;Agropecuária Equus;GAÚCHA DO NORTE;MT;"053°26'21""W";"13°32'16""S";396;VFR;800;20
SIZH;Fazenda Vista Alegre;APARECIDA DO TABOADO;MS;"051°30'51""W";"19°59'47""S";452;VFR;1070;23
SNOG;Ceará Mirim;CEARÁ-MIRIM;RN;"035°24'49""W";"05°39'41,3""S";52;VFR;1200;20
SJFM;Fazenda Macuco;ELDORADO;MS;"054°13'53""W";"23°50'09""S";350;VFR;970;35
SIVN;Fazenda Sansara;MONTES CLAROS;MG;"043°46'00""W";"16°36'00""S";655;VFR;1150;30
SIIG;Elisa Camargo de Arruda Botelho;RANCHARIA;SP;"051°06'05,4""W";"22°21'39,9""S";535;VFR;950;23
SISO;Fazenda Santo Ambrósio;CHAVES;PA;"049°34'52,26""W";"00°05'31,09""S";6;VFR;900;18
SJLI;Fazenda Liliani;BOM JARDIM;MA;"046°58'30""W";"04°12'49""S";292;VFR;960;28
SIIZ;Fazenda Iporanga;MUTUNÓPOLIS;GO;"049°28'23""W";"13°45'30""S";384;VFR;751;19
SJ8N;Condomínio Aeronáutico Aeroagro;SORRISO;MT;"055°41'49""W";"12°35'37""S";373;VFR;1000;20
SIEB;Fazenda São Bento;SIDROLÂNDIA;MS;"055°07'29""W";"21°04'18""S";534;VFR;800;18
SNNW;Fazenda Regalito;FLORES DE GOIÁS;GO;"046°52'14""W";"14°27'58""S";468;VFR;1200;20
SJZT;Busato II;SERRA DO RAMALHO;BA;"043°44'10""W";"13°14'19""S";457;VFR;1700;30
SJGN;Fazenda Agromar;SÃO JOSÉ DO RIO CLARO;MT;"056°28'54""W";"13°40'05""S";377;VFR;1200;20
SJYW;Fazenda Santa Terezinha;SANTA TEREZINHA;MT;"050°56'58""W";"10°19'09""S";229;;1300;19
SJWE;Fazenda Santa Delfina;MIRANDA;MS;"056°18'36""W";"20°02'25""S";100;VFR;1195;22
SDEB;Fazenda São Paulo dos Palmares;TIMBURI;SP;"049°32'51""W";"23°16'10""S";853;;1130;20
SWRS;Fazenda Santa Mônica;RONDONÓPOLIS;MT;"054°45'18,42""W";"16°58'30,69""S";492;VFR;850;18
SWVF;Fazenda Santo Antônio do Guaporé;VILA BELA DA SANTÍSSIMA TRINDADE;MT;"059°55'30""W";"16°00'40""S";226;;1000;20
SJNE;Wapum;CARACARAÍ;RR;"059°57'26""W";"01°59'24""N";151;VFR;600;20
SJER;Fazenda Canadá;ACREÚNA;GO;"050°20'17,15""W";"17°21'30,52""S";552;;999;18
SJTF;Fazenda Mequéns;ALTA FLORESTA D'OESTE;RO;"062°15'36""W";"13°03'45""S";170;;1200;20
SJFV;Fazenda Gaia;MONTE ALEGRE DE MINAS;MG;"048°45'17""W";"18°45'59""S";822;VFR;1268;20
SNMV;Fazenda Flávia;ALCINÓPOLIS;MS;"053°45'00""W";"18°21'00""S";381;VFR;1000;25
SWHN;Fazenda Colibri;SELVÍRIA;MS;"051°50'45""W";"20°13'37""S";424;VFR;900;40
SDFI;Fazenda Rio Crixás;MUNDO NOVO;GO;"050°00'52""W";"13°44'17""S";278;;1250;20
SIPO;Sebastião José Pereira;CONDEÚBA;BA;"041°57'24""W";"14°55'27""S";689;VFR;1100;30
SWQP;Rio Vermelho Açúcar e Álcool;JUNQUEIRÓPOLIS;SP;"051°22'12""W";"21°18'55""S";350;VFR;1000;18
SWTQ;Rio Quente Resorts;RIO QUENTE;GO;"048°45'42""W";"17°46'08""S";669;;1100;18
SSWH;Dr. Emílio Fehr (ex-Fazenda Agropecuária Rossignolo);SÃO CARLOS;SP;"047°49'16""W";"21°54'24""S";701;VFR;800;18
SJDF;Fazenda Futura;BRASILÂNDIA DE MINAS;MG;"046°11'39""W";"16°56'49""S";501;VFR;1200;23
SD3Z;Fazenda Eldorado;SÃO JOSÉ DO XINGU;MT;"052°22'17""W";"10°49'23""S";0;VFR;1400;20
SBQO;Fazenda Paraíso;PRADO;BA;"039°10'34""W";"17°01'39""S";18;VFR;600;15
SNLQ;Fazenda Conforto;NOVA CRIXÁS;GO;"050°24'57""W";"14°03'57""S";294;VFR;1620;25
SNLL;Condomínio Liberty;GOIANÁPOLIS;GO;"049°00'44""W";"16°27'57""S";1022;VFR;1640;30
SBOY;Fazenda São José;CORUMBÁ;MS;"056°10'47""W";"17°25'06""S";120;VFR;600;18
SJCR;Fazenda Rebeca;BREJOLÂNDIA;BA;"043°52'17""W";"12°40'58""S";494;VFR;1300;18
SSYA;Fazenda Tropical;SÃO LUIZ DO NORTE;GO;"049°11'44""W";"14°52'41""S";565;VFR;1050;18
